caseId,datasetId,simulationOnly,category,tuningExcluded,scenarioFamily,customerId,expectedSignals,allowedConclusions,forbiddenConclusions,requiredQuestions,forbiddenOutputs,applicableExplanations,boundaryType
SIM-EVAL-N16,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N17,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N18,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV3,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N19,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV3,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N20,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV3,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-A01,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD1,SIM-C001,['BUSINESS_ANOMALY'],['E02 合法税务差异'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-06'],
SIM-EVAL-A02,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD1,SIM-C001,['BUSINESS_ANOMALY'],['E03 能源边界变化'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-01'],
SIM-EVAL-A03,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD1,SIM-C001,['BUSINESS_ANOMALY'],['E01 增长占款'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A04,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD1,SIM-C001,['OPPORTUNITY'],['E05 代发机会'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A05,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD1,SIM-C001,['BUSINESS_ANOMALY'],['E02 合法税务差异'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-06'],
SIM-EVAL-A06,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD2,SIM-C001,['BUSINESS_ANOMALY'],['E03 能源边界变化'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-01'],
SIM-EVAL-A07,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,True,SIM-FAM-A-HOLD2,SIM-C001,['BUSINESS_ANOMALY'],['E01 增长占款'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A08,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV1,SIM-C001,['OPPORTUNITY'],['E05 代发机会'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A09,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV1,SIM-C001,['BUSINESS_ANOMALY'],['E02 合法税务差异'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-06'],
SIM-EVAL-A10,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV1,SIM-C001,['BUSINESS_ANOMALY'],['E03 能源边界变化'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-01'],
SIM-EVAL-A11,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV1,SIM-C001,['BUSINESS_ANOMALY'],['E01 增长占款'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A12,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV1,SIM-C001,['OPPORTUNITY'],['E05 代发机会'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A13,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV2,SIM-C001,['BUSINESS_ANOMALY'],['E02 合法税务差异'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-06'],
SIM-EVAL-A14,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV2,SIM-C001,['BUSINESS_ANOMALY'],['E03 能源边界变化'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-01'],
SIM-EVAL-A15,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV2,SIM-C001,['BUSINESS_ANOMALY'],['E01 增长占款'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A16,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV2,SIM-C001,['OPPORTUNITY'],['E05 代发机会'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A17,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV2,SIM-C001,['BUSINESS_ANOMALY'],['E02 合法税务差异'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-06'],
SIM-EVAL-A18,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV3,SIM-C001,['BUSINESS_ANOMALY'],['E03 能源边界变化'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],['EX-M-01'],
SIM-EVAL-A19,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV3,SIM-C001,['BUSINESS_ANOMALY'],['E01 增长占款'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-A20,SIM-DSV2-EVAL,True,ANOMALY_OR_LEGAL_EXPLANATION,False,SIM-FAM-A-DEV3,SIM-C001,['OPPORTUNITY'],['E05 代发机会'],"['FACT_CONFLICT_FOR_REVENUE_VS_TAX', 'CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT']",['ASK_PAYMENT_TERMS_OR_CHANNEL_CHANGE'],['CLOSE_ANOMALY_WITH_UNVERIFIED_EXPLANATION'],[],
SIM-EVAL-B01,SIM-DSV2-EVAL,True,BOUNDARY,True,SIM-FAM-B-HOLD1,SIM-C001,['RISK_EVENT'],['E04 低占用逾期（使用率 35%）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,LOW_UTILIZATION_OVERDUE
SIM-EVAL-B02,SIM-DSV2-EVAL,True,BOUNDARY,True,SIM-FAM-B-HOLD1,SIM-C001,[],['E06 无法判断（跨行资料不可得）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NO_DATA_AVAILABLE
SIM-EVAL-B03,SIM-DSV2-EVAL,True,BOUNDARY,True,SIM-FAM-B-HOLD1,SIM-C001,[],['输入不可比（须返回 NOT_COMPARABLE）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NOT_COMPARABLE_INPUT
SIM-EVAL-B04,SIM-DSV2-EVAL,True,BOUNDARY,True,SIM-FAM-B-HOLD1,SIM-C001,[],['同名异主体（SIM-C011）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,SAME_NAME_DIFFERENT_ENTITY
SIM-EVAL-B05,SIM-DSV2-EVAL,True,BOUNDARY,True,SIM-FAM-B-HOLD1,SIM-C001,['RISK_EVENT'],['E04 低占用逾期（使用率 35%）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,LOW_UTILIZATION_OVERDUE
SIM-EVAL-B06,SIM-DSV2-EVAL,True,BOUNDARY,True,SIM-FAM-B-HOLD2,SIM-C001,[],['E06 无法判断（跨行资料不可得）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NO_DATA_AVAILABLE
SIM-EVAL-B07,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV1,SIM-C001,[],['输入不可比（须返回 NOT_COMPARABLE）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NOT_COMPARABLE_INPUT
SIM-EVAL-B08,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV1,SIM-C001,[],['同名异主体（SIM-C011）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,SAME_NAME_DIFFERENT_ENTITY
SIM-EVAL-B09,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV1,SIM-C001,['RISK_EVENT'],['E04 低占用逾期（使用率 35%）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,LOW_UTILIZATION_OVERDUE
SIM-EVAL-B10,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV1,SIM-C001,[],['E06 无法判断（跨行资料不可得）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NO_DATA_AVAILABLE
SIM-EVAL-B11,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV1,SIM-C001,[],['输入不可比（须返回 NOT_COMPARABLE）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NOT_COMPARABLE_INPUT
SIM-EVAL-B12,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV2,SIM-C001,[],['同名异主体（SIM-C011）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,SAME_NAME_DIFFERENT_ENTITY
SIM-EVAL-B13,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV2,SIM-C001,['RISK_EVENT'],['E04 低占用逾期（使用率 35%）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,LOW_UTILIZATION_OVERDUE
SIM-EVAL-B14,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV2,SIM-C001,[],['E06 无法判断（跨行资料不可得）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NO_DATA_AVAILABLE
SIM-EVAL-B15,SIM-DSV2-EVAL,True,BOUNDARY,False,SIM-FAM-B-DEV2,SIM-C001,[],['输入不可比（须返回 NOT_COMPARABLE）'],"['SUPPRESS_OVERDUE_BECAUSE_UTILIZATION_LOW', 'CONFIRM_REVENUE_DECLINE_FROM_OWN_BANK_VIEW_ONLY', 'TREAT_ABSENT_AS_FALSE', 'MERGE_SAME_NAME_ENTITIES']",['ASK_SCOPE_OR_COVERAGE_CLARIFICATION'],"['TREAT_NOT_RUN_AS_NO_CONFLICT', 'HIDE_MISSING_AS_ZERO']",,NOT_COMPARABLE_INPUT
